"id","action","user","variable_name","date","time"
"9930ca","QuestionDisabled","","HH_marital","",""
"9930ca","QuestionDisabled","","HH_marital","",""
"9930ca","QuestionDisabled","","HH_spouse","",""
"9930ca","QuestionDisabled","","HH_spouse","",""
"9930ca","QuestionDisabled","","HH_spouse","",""
"9930ca","QuestionDisabled","","HH_spouse","",""
"9930ca","QuestionDisabled","","HH_spouse","",""
"9930ca","QuestionDisabled","","HH_spouse","",""
"9930ca","QuestionDisabled","","HH_polygamy","",""
"9930ca","QuestionDisabled","","HH_polygamy","",""
"9930ca","QuestionDisabled","","HH_polygamy","",""
"9930ca","QuestionDisabled","","HH_polygamy","",""
"9930ca","QuestionDisabled","","HH_polygamy","",""
"9930ca","QuestionDisabled","","HH_polygamy","",""
"9930ca","QuestionDisabled","","HH_polygamy","",""
"9930ca","QuestionDisabled","","LL_ag_activity","",""
"9930ca","QuestionDisabled","","LL_ag_activity","",""
"9930ca","QuestionDisabled","","LL_ag_wage","",""
"9930ca","QuestionDisabled","","LL_ag_wage","",""
"9930ca","QuestionDisabled","","LL_nonag_wage","",""
"9930ca","QuestionDisabled","","LL_nonag_wage","",""
"9930ca","QuestionDisabled","","LL_nonag_bus","",""
"9930ca","QuestionDisabled","","LL_nonag_bus","",""
"9930ca","QuestionDisabled","","LL_nonag_bus","",""
"9930ca","QuestionDisabled","","LL_nonag_bus","",""
"9930ca","QuestionDisabled","","PAR_areaunit_other","",""
"9930ca","QuestionDisabled","","PAR_location","",""
"9930ca","QuestionDisabled","","PAR_acquire_other","",""
"9930ca","QuestionDisabled","","PAR_decisionperm_A","",""
"9930ca","QuestionDisabled","","PAR_decisionperm_hh","",""
"9930ca","QuestionDisabled","","LS_soldanimal_dec","",""
"9930ca","QuestionDisabled","","LS_earnanimal_dec","",""
"9930ca","QuestionDisabled","","CROP_code_other","",""
"9930ca","QuestionDisabled","","CROP_code_other","",""
"9930ca","QuestionDisabled","","CROP_decisionsell","",""
"9930ca","QuestionDisabled","","CROP_decisionsell","",""
"9930ca","QuestionDisabled","","CROP_decisionsell_hh","",""
"9930ca","QuestionDisabled","","CROP_decisionsell_hh","",""
"9930ca","QuestionDisabled","","CROP_sell","",""
"9930ca","QuestionDisabled","","CROP_sell","",""
"9930ca","QuestionDisabled","","CROP_decisionearn","",""
"9930ca","QuestionDisabled","","CROP_decisionearn","",""
"9930ca","QuestionDisabled","","CROP_decisionearn","",""
"9930ca","QuestionDisabled","","CROP_decisionearn_hh","",""
"9930ca","QuestionDisabled","","CROP_decisionearn_hh","",""
"9930ca","QuestionDisabled","","CROP_decisionearn_hh","",""
"9930ca","QuestionDisabled","","CROP_consume_amount","",""
"9930ca","QuestionDisabled","","CROP_consume_amount","",""
"9930ca","GroupEnabled","","4acbdbad9cdef15f3a3dbb54f0c76af4","",""
"9930ca","GroupEnabled","","1c540d7992d95836a22a8fb764260fa9","",""
"9930ca","GroupEnabled","","97e777cdede7e812bca15678959bd60f","",""
"9930ca","Completed","","","09/13/2016","10:55:21"
"9930ca","ReceivedBySupervisor","","","09/14/2016","02:41:43"
"9930ca","ApproveBySupervisor","Sup_Mugonza","","09/14/2016","03:25:07"
